dataset,type,file,train,train_noise
1.SentiCR.oracle,ML,1.SentiCR.oracle-ML.csv,no,none
2.Cross.GitHub,ML,2.github_gold-ML.csv,no,none
4.1.BinLin-AppReviews,ML,4.1.AppReviews-data-ML.csv,no,none
4.2.BinLin-Jira,ML,4.2.JIRA-data-ML.csv,no,none
4.3.BinLin-SO,ML,4.3.StackOverflow-data-ML.csv,no,none
5.Senti4SD-GoldStandard-EmotionPolarity,ML,05.Senti4SD_GoldStandard_EmotionPolarity-ML.csv,no,none
6.Opiner-StackOverflow,ML,6.Opiner-ML.csv,no,none
7.1.BERT4SentiSE-StackOverflow,ML,7.1.BERT4SentiSE.SO-ML.csv,no,none
7.2.BERT4SentiSE-Combined,ML,7.2.BERT4SentiSE.Combined-ML.csv,no,none
17.POME-StackOverflow,ML,17.POME-StackOverflow-ML.csv,no,none
17.POME-StackOverflow,ML,39.POME-StackOverflow-ML-auto-emotion-double-T.csv,no,Auto-Emotion-D
4.1.BinLin-AppReviews,ML,40.4.1.AppReviews-data-ML-auto-emotion-double-T.csv,no,Auto-Emotion-D
4.3.BinLin-SO,ML,41.4.3.StackOverflow-data-ML-auto-emotion-double-T.csv,no,Auto-Emotion-D
5.Senti4SD-GoldStandard-EmotionPolarity,ML,42.05.Senti4SD_GoldStandard_EmotionPolarity-ML-auto-emotion-double-T.csv,no,Auto-Emotion-D
6.Opiner-StackOverflow,ML,43.6.Opiner-ML-auto-emotion-double-T.csv,no,Auto-Emotion-D
7.1.BERT4SentiSE-StackOverflow,ML,44.7.1.BERT4SentiSE.SO-ML-auto-emotion-double-T.csv,no,Auto-Emotion-D
4.3.BinLin-SO,ML,45.4.3.StackOverflow-data-ML-Fixed-Emotion.csv,no,Fixed-Emotion-D
5.Senti4SD-GoldStandard-EmotionPolarity,ML,46.05.Senti4SD_GoldStandard_EmotionPolarity-ML-Fixed-Emotion.csv,no,Fixed-Emotion-D
6.Opiner-StackOverflow,ML,47.6.Opiner-ML-Fixed-Emotion.csv,no,Fixed-Emotion-D
7.1.BERT4SentiSE-StackOverflow,ML,48.7.1.BERT4SentiSE.SO-ML-Fixed-Emotion.csv,no,Fixed-Emotion-D
4.3.BinLin-SO,ML+N,49.4.3.StackOverflow-data-ML-auto-emotion-double-Train-Validate-Test.csv,no,Auto-Emotion-D
5.Senti4SD-GoldStandard-EmotionPolarity,ML+N,50.05.Senti4SD_GoldStandard_EmotionPolarity-ML-auto-emotion-double-Train-Validate-Test.csv,no,Auto-Emotion-D
6.Opiner-StackOverflow,ML+N,51.6.Opiner-ML-auto-emotion-double-Train-Validate-Test.csv,no,Auto-Emotion-D
7.1.BERT4SentiSE-StackOverflow,ML+N,52.7.1.BERT4SentiSE.SO-ML-auto-emotion-double-Train-Validate-Test.csv,no,Auto-Emotion-D
4.3.BinLin-SO,ML,53.4.3.StackOverflow-data-ML-auto-emotion-double-Train-Validate.csv,no,Auto-Emotion-D-TV
5.Senti4SD-GoldStandard-EmotionPolarity,ML,54.05.Senti4SD_GoldStandard_EmotionPolarity-ML-auto-emotion-double-Train-Validate.csv,no,Auto-Emotion-D-TV
6.Opiner-StackOverflow,ML,55.6.Opiner-ML-auto-emotion-double-Train-Validate.csv,no,Auto-Emotion-D-TV
7.1.BERT4SentiSE-StackOverflow,ML,56.7.1.BERT4SentiSE.SO-ML-auto-emotion-double-Train-Validate.csv,no,Auto-Emotion-D-TV
4.3.BinLin-SO,ML,57.4.3.StackOverflow-data-ML-auto-emotion-double-Train.csv,no,Auto-Emotion-D-T
5.Senti4SD-GoldStandard-EmotionPolarity,ML,58.05.Senti4SD_GoldStandard_EmotionPolarity-ML-auto-emotion-double-Train.csv,no,Auto-Emotion-D-T
6.Opiner-StackOverflow,ML,59.6.Opiner-ML-auto-emotion-double-Train.csv,no,Auto-Emotion-D-T
7.1.BERT4SentiSE-StackOverflow,ML,60.7.1.BERT4SentiSE.SO-ML-auto-emotion-double-Train.csv,no,Auto-Emotion-D-T
4.3.BinLin-SO,ML,61.4.3.StackOverflow-data-ML-auto-emotion-double-train-alg.csv,no,Auto-Emotion-D-T-ALG
5.Senti4SD-GoldStandard-EmotionPolarity,ML,62.05.Senti4SD_GoldStandard_EmotionPolarity-ML-auto-emotion-double-train-alg.csv,no,Auto-Emotion-D-T-ALG
6.Opiner-StackOverflow,ML,63.6.Opiner-ML-auto-emotion-double-train-alg.csv,no,Auto-Emotion-D-T-ALG
7.1.BERT4SentiSE-StackOverflow,ML,64.7.1.BERT4SentiSE.SO-ML-auto-emotion-double-train-alg.csv,no,Auto-Emotion-D-T-ALG
4.3.BinLin-SO,ML,65.4.3.StackOverflow-data-ML-auto-emotion-double-Train.csv,yes,Auto-Emotion-D-T-All
5.Senti4SD-GoldStandard-EmotionPolarity,ML,66.05.Senti4SD_GoldStandard_EmotionPolarity-ML-auto-emotion-double-Train.csv,yes,Auto-Emotion-D-T-All
6.Opiner-StackOverflow,ML,67.6.Opiner-ML-auto-emotion-double-Train.csv,yes,Auto-Emotion-D-T-All
7.1.BERT4SentiSE-StackOverflow,ML,68.7.1.BERT4SentiSE.SO-ML-auto-emotion-double-Train.csv,yes,Auto-Emotion-D-T-All